id,parent_id,tipo,sku,nombre,old_stock,new_stock,new_status,motivo
9099,0,simple,611355572175,PREMIUM WHEY STRAWBERRY 5 LBS-LANDERFIT,0,0,outofstock,actualizacion_inventario
9100,0,simple,612590417740,PREMIUM WHEY CARAMEL 5 LBS-LANDERFIT,0,0,outofstock,actualizacion_inventario
9104,0,simple,612590416262,PREMIUM WHEY ACAI 2.06 LBS-LANDERFIT,0,0,outofstock,actualizacion_inventario
9126,0,simple,612590416309,PREMIUM WHEY PEANUT BUTTER 2.06 LBS- LANDERFIT,0,0,outofstock,actualizacion_inventario
9127,0,simple,612590417733,PREMIUM WHEYCARAMEL MATE 2 LBS- LANDERFIT,0,0,outofstock,actualizacion_inventario
9130,0,simple,612590416163,PREMIUM WHEY DULCE DE LECHE 2 LBS- LANDERFIT,0,0,outofstock,actualizacion_inventario
9145,0,simple,611355572052,PROTEINA HIDRO CHOCOLATE 2.17 LBS- LANDERFIT,0,0,outofstock,actualizacion_inventario
9149,0,simple,612590416224,PROTEINA HIDRO COCO 2.11 LBS-LADERFIT,0,0,outofstock,actualizacion_inventario
9150,0,simple,611355572045,"PROTEINA HIDRO STRAWBERRY 2,11 LBS- LANDERFIT",0,0,outofstock,actualizacion_inventario
9151,0,simple,612590416644,"VEGAN-PROTEIN VAINILLA 2,04 LBS LANDERFIT",57,55,instock,actualizacion_inventario
9152,0,simple,612590416606,PROTEINA WOMENS CHOCOLATE BROWNIE 2.04 LBS LANDERFIT,2,2,outofstock,actualizacion_inventario
9175,0,simple,612590416064,LIPO REVOLUTION STIM FREE 60 CAPSULAS- LANDERFIT,0,0,outofstock,actualizacion_inventario
9186,0,simple,612590416439,LIPO REVOLUTION 60 CAPS NEGRO- LANDERFIT,0,0,outofstock,actualizacion_inventario
9190,0,simple,612590416057,CLA -2000 120 CAPSULAS- LANDERFIT,24,23,instock,actualizacion_inventario
9200,0,simple,612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",129,121,instock,actualizacion_inventario
9203,0,simple,799142775395,MUSCLE PUMP FRUIT PUNCH 30 SERV LANDERFIT,6,6,outofstock,actualizacion_inventario
9208,0,simple,612590416071,TRIBULUS TERRESTRIS STI 90-CAPSULAS- LANDERFIT,26,26,instock,actualizacion_inventario
9210,0,simple,612590415920,HYDROLYZED COLLAGEN 180 CAPSULAS- LANDERFIT,0,0,outofstock,actualizacion_inventario
9214,0,simple,612590416446,VITAMINA C- 1000MG -LANDFERFIT,10,9,instock,actualizacion_inventario
9215,0,simple,799142775432,DIURETICO 40 CAPSULAS LANDERFIT,16,15,instock,actualizacion_inventario
9445,0,simple,842595119831,C4 PERFORMANCE ENERGY 16OZ SPARLING CHERY BERRY LIME,21,0,outofstock,actualizacion_inventario
9446,0,simple,748927066005,AMINO ENERGY RTD SPARLING AE ORANGE OPTIMUN NUTRICION,0,0,outofstock,actualizacion_inventario
9518,0,simple,857268005977,MASS FUSION VAINILLA 12 LBS NUTREX,0,0,outofstock,actualizacion_inventario
9519,0,simple,857268005984,MASS FUSION CHOCOLATE 12 LBS NUTREX,0,0,outofstock,actualizacion_inventario
9536,0,simple,859400007344,ISOFIT BANANAS FOSTER 30SRV NUTREX,0,0,outofstock,actualizacion_inventario
9546,0,simple,850046504723,"TRIBULUS 1400, 90 CAPSULAS NUTREX",2,2,outofstock,actualizacion_inventario
9562,0,simple,850049150156,CBUM-THAVAGE - PRE-ROCKET - CANDY,3,3,outofstock,actualizacion_inventario
9563,0,simple,850049150163,CBUM-THAVAGE - PRE-BLACKBERRY - LEMONADE,0,0,outofstock,actualizacion_inventario
9564,0,simple,850039445156,CBUM-THAVAGE - PRE-GREEN - CRUSH,0,0,outofstock,actualizacion_inventario
9578,0,simple,850049150170,THAVAGE- DRAGONFRUIT,0,0,outofstock,actualizacion_inventario
9579,0,simple,850039445958,CBUM-THAVAGE- PRE-6PEAT,0,0,outofstock,actualizacion_inventario
9583,0,simple,850049150507,THAVAGE - PEACH-BUM-FL,0,0,outofstock,actualizacion_inventario
9590,0,simple,860007357572,PUMP - PINEAPPLE,0,0,outofstock,actualizacion_inventario
9591,0,simple,850039445194,PUMP- LEMONADE,0,0,outofstock,actualizacion_inventario
9593,0,simple,850039445347,RAW PUMP - STRABERRY - LEMONADE,1,0,outofstock,actualizacion_inventario
9594,0,simple,850049150682,RAW-JUICY - PUMPS,0,0,outofstock,actualizacion_inventario
9601,0,simple,850039445675,RAW-ESSENTIAL - WATERMELON-1,0,0,outofstock,actualizacion_inventario
9602,0,simple,850039445668,RAW-ESSENTIAL - ORANGE,0,0,outofstock,actualizacion_inventario
9603,0,simple,850049150293,RAW-ESSENTIAL - PEACH-MANGO,0,0,outofstock,actualizacion_inventario
9604,0,simple,850049150231,RAW-ESSENTIAL - FRUIT-BURST,0,0,outofstock,actualizacion_inventario
9617,0,simple,850057175042,NEW PROTEIN DOUBLE CHOCOLATE MASTER CASE - 21G DE PROTEINA (NEW),0,0,outofstock,actualizacion_inventario
9648,0,simple,842595109368,C4 PERFORMANCE ENERGY 16OZ ORANGE SLICE,0,0,outofstock,actualizacion_inventario
9680,0,simple,891597002535,PROTEINA 2 LBS CHOCOLATE CARNIVOR (MUSCLE MEDS),0,0,outofstock,actualizacion_inventario
9682,0,simple,891597002689,PROTEINA 2LBS VANILLA CARAMEL CARNIVOR (MUSCLE MEDS),0,0,outofstock,actualizacion_inventario
9683,0,simple,891597003655,PROTEINA 4LBS CHOCOLATE PEANUT CARNIVOR (MUSCLE MEDS),0,0,outofstock,actualizacion_inventario
9684,0,simple,891597003778,PROTEINA 4 LBS STRAWBERRY CARNIVOR (MUSCLE MEDS),0,0,outofstock,actualizacion_inventario
9685,0,simple,891597002160,PROTEINA 4LBS FRUIT PONCH CARNIVOR (MUSCLE MEDS),0,0,outofstock,actualizacion_inventario
9693,0,simple,891597003679,PROTEINA MASS CHOCOLATE FUDGE 10.4 LBS CARNIVOR,0,0,outofstock,actualizacion_inventario
9694,0,simple,891597003747,PROTEINA MASS VAINILLA 10.30 LBS CARNIVOR,0,0,outofstock,actualizacion_inventario
9701,0,simple,891597004065,"PROTEINA MASS CHOCOLATE PANUT BUTER 5,9 LBS CARNIVOR",0,0,outofstock,actualizacion_inventario
9702,0,simple,891597004058,PROTEINA MASS STRAWERRY 5.79 LBS CARNIVOR,0,0,outofstock,actualizacion_inventario
9703,0,simple,891597002658,PROTEINA MASS VAINILLA CARAMELL 5.78 CARNIVOR,0,0,outofstock,actualizacion_inventario
9713,0,simple,891597004560,PROTEINA SHRED 2 LBS CHOCOLATE CARNIVOR (MUSCLE MEDS),0,0,outofstock,actualizacion_inventario
9714,0,simple,891597005444,PROTEINA MASS 14.8LBS CHOCOLATE FUDGE CARNIVOR (MUSCLE MEDS),0,0,outofstock,actualizacion_inventario
9715,0,simple,891597002757,BEEF AMINOS CAPS 300 TABLETAS CARNIVOR,1,1,outofstock,actualizacion_inventario
