id,parent_id,tipo,sku,nombre,old_stock,new_stock,new_status,motivo
19211,19205,variation,705016357208,ISO 100 GOURMET CHOCOLATE 1.34 LBS DYMATIZE,0,0,outofstock,inventario
19210,19205,variation,705016600366,ISO 100 BIRTHDAY CAKE PEBBLES 1.34 LBS DYMATIZE,3,3,outofstock,inventario
19209,19205,variation,705016356201,ISO 100 COCOA PEBBLES 1.34 LBS DYMATIZE,0,0,outofstock,inventario
19208,19205,variation,705016354207,PROTEINA ISO 100 FRUITY PEBBLES 20 SERV. 1.34 LBS DYMATIZE,431,431,instock,inventario
19207,19205,variation,705016600359,"ISO 100 COOKIES AND CREAM 1,34 LBS DYMATIZE",0,0,outofstock,inventario
19206,19205,variation,75016600694,ISO 100 DUNKIN GLAZED DONUT1.34 LBS DYMATIZE,2,2,outofstock,inventario
20385,19183,variation,705016353217,ISO 100 VAINILLA 5 LBS DYMATIZE,119,119,instock,inventario
19192,19183,variation,705016353187,PROTEINA ISO 100 GURMET CHOCOLATE 5 LBS DYMATIZE,4,4,outofstock,inventario
19191,19183,variation,705016500420,ISO 100 BIRTHDAY CAKE 5 LBS DYMATIZE,16,16,instock,inventario
19190,19183,variation,705016353439,ISO 100 FRUTY PEBLLES 5 LBS DYMATIZE,13,13,instock,inventario
19189,19183,variation,705016353200,ISO 100 COOKIES AND CREAM 5 LBS DYMATIZE,0,0,outofstock,inventario
19188,19183,variation,705016353446,ISO 100 COCOA PEBBLES 5 LBS DYMATIZE,5,5,outofstock,inventario
19187,19183,variation,705016601141,ISO 100 CINAMON CHURRO 5 LBS DYMATIZE,0,0,outofstock,inventario
19186,19183,variation,705016353170,ISO 100 STRAWERRY 5 LBS DYMATIZE,0,0,outofstock,inventario
19185,19183,variation,705016500406,ISO 100 FUGGE BROWNIE 5 LBS DYMATIZE,0,0,outofstock,inventario
18858,18854,variation,713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,64,64,instock,inventario
18857,18854,variation,713101732014,PROLIVE BIO6 COCONUT 6 LBS IMPULSE,3,3,outofstock,inventario
18856,18854,variation,713101732038,PROLIVE BIO6 COFFEE LOVERS DE 6 LB IMPULSE,57,57,instock,inventario
18855,18854,variation,713101732045,PROLIVE BIO6 CRISPY TOFFEE 6 LBS IMPULSE,48,48,instock,inventario
18195,18186,variation,703556204815,PROLIVE BIO5 BUTTER BLASTER DE 5 LBS IMPULSE,126,126,instock,inventario
18194,18186,variation,608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,269,269,instock,inventario
18193,18186,variation,745560722169,PROLIVE BIO5 CHOCO COCO DE 5 LBS IMPULSE,2,2,outofstock,inventario
18192,18186,variation,745560722152,PROLIVE BIO5 DE CHOCOLATE 5 LBS IMPULSE,345,345,instock,inventario
18191,18186,variation,745560722176,PROLIVE BIO5 COOKIS AND CREAM DE 5LB IMPULSE,100,99,instock,inventario
18190,18186,variation,745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,326,326,instock,inventario
18189,18186,variation,703556204846,PROLIVE BIO5 CARAMEL PEANUT BUTTER DE 5 LBS IMPULSE,55,54,instock,inventario
18188,18186,variation,703556204822,PROLIVE BIO5 WHITE CHOCORAINBOW DE 5 LB IMPULSE,44,44,instock,inventario
18187,18186,variation,745560722138,PROLIVE BIO5 VAINILLA DE 5 LB IMPULSE,250,250,instock,inventario
18893,18887,variation,608631655424,CREATINA STIM PRO52 SERV. FRUIT PUNCH IMPULSE,56,57,instock,inventario
18892,18887,variation,703556204938,CREATINA STIM PRO 52 SERV. ORANGE IMPULSE,19,19,instock,inventario
18891,18887,variation,608631655431,CREATINA STIM PRO WATERMELON IMPULSE,42,42,instock,inventario
18875,18869,variation,703556204730,L CARNITINA 3500 RED & GREEN IMPULSE,9,9,instock,inventario
18874,18869,variation,745560722183,L CARNITINA 3500 FRUIT PONCHS IMPULSE,4,4,outofstock,inventario
18873,18869,variation,745560722030,L- CARNITINA 3500 PIÑA COLADA IMPULSE,2,2,outofstock,inventario
18872,18869,variation,745560722008,L-CARNITINA 3500 BLUE BERRY IMPULSE,0,0,outofstock,inventario
18871,18869,variation,745560722039,L- CARNITINA 3500 MANGO ALEGRE IMPULSE,13,13,instock,inventario
18870,18869,variation,703556204751,L-CARNITINA 3500 WATERMELON IMPULSE,12,12,instock,inventario
18865,18861,variation,713101732144,VEGANA ULTRA DE COCO 3 LBS IMPULSE,5,5,outofstock,inventario
18864,18861,variation,7113101732151,ULTRA VEGANA CARAMELO PEANUT BUTTER 3 LBS IMPULSE,14,14,instock,inventario
