id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage
20445,20442,variation,842595131741,C4 PERFORMANCE 16OZ ATOMIC GRAPE,55,55,instock,instock,True
19965,19963,variation,612590416651,REDS & GREENS PINA 30 SERVING- LANDERFIT,18,18,instock,instock,True
19314,19304,variation,810121050798,EVP 3D ICED MOCHA COFFE-EVOGEN,8,8,instock,instock,True
18188,18186,variation,703556204822,PROLIVE BIO5 WHITE CHOCORAINBOW DE 5 LB IMPULSE,40,40,instock,instock,True
18874,18869,variation,745560722183,L CARNITINA 3500 FRUIT PONCHS IMPULSE,4,4,outofstock,instock,True
18911,18910,variation,812135021665,XTEND ORIGINAL 90 SERV. ITALIAN BLOOD ORANGE,14,14,instock,instock,True
19047,19043,variation,850016779359,BROWNIE +COLLAGEN BIRTHDAY CAKE BLONDIE,109,109,instock,instock,True
14413,0,simple,799142775425,BODY RESTORE 60 CAPSULAS- LANDERFIT,30,30,instock,instock,True
19317,19304,variation,817189027762,EVP 3D SOUR CANDY- EVOGEN,10,10,instock,instock,True
14421,0,simple,612590415852,GLUCOSAMINA 120 CAPSULAS- LANDERFIT,39,39,instock,instock,True
14422,0,simple,799142775449,HORMONAL BALANCE 90 CAPSULAS- LANDERFIT,57,57,instock,instock,True
19260,19253,variation,817189025393,AMINO K.E.M TROPIC TUNDER-EVOGEN,11,11,instock,instock,True
14430,0,simple,812590416028,MELATONINA 5 MG 120 CAPSULAS- LANDERFIT,20,20,instock,instock,True
18953,18946,variation,829263000028,NITRO UP BLEND 5 LBS - COOKIES & CREAM - MUSCLEOLOGY,6,6,outofstock,instock,True
19001,19000,variation,860007448911,RAW-SLEEP-STRAWBERRY-KIWI (SOPORTE PARA UN MEJOR SUEÑO REPARADOR),15,15,instock,instock,True
19751,19744,variation,817189020237,ISOJECT CHOCOLATE PEANUT BUTTER 1.97 LBS EVOGEN,7,7,instock,instock,True
9546,0,simple,850046504723,"TRIBULUS 1400, 90 CAPSULAS NUTREX",2,2,outofstock,instock,True
20408,11808,variation,891597006427,RTD CARNIVOR SALTED CARAMEL 500ML (MUSCLE MEDS),800,800,instock,instock,True
19872,19871,variation,748927022902,AMINO ENERGY ORANGE 585G,73,73,instock,instock,True
19044,19043,variation,850016779373,BROWNIE CHOCOLATE FUDGE,229,229,instock,instock,True
19875,19871,variation,748927051308,AMINO ENERGY WATERMELON 585G,104,104,instock,instock,True
19310,19304,variation,810121053997,EVP 3D VICTORY PUNCH- EVOGEN,5,5,outofstock,instock,True
19416,19402,variation,810121058695,EVP XTREME PATRIOT POP,3,3,outofstock,instock,True
18191,18186,variation,745560722176,PROLIVE BIO5 COOKIS AND CREAM DE 5LB IMPULSE,103,103,instock,instock,True
18919,18917,variation,842595106084,C4 ORIGINAL ICE BLUE RAZZ 60 SERV (PRE-WORK) CELLUCOR,1,1,outofstock,instock,True
14415,0,simple,703556204785,CORESHIELD -XR MULTIVITAMINAS,60,60,instock,instock,True
19405,19402,variation,810121057254,EVP XTREME N.O CITRUS CANDY-EVOGEN,4,4,outofstock,instock,True
19191,19183,variation,705016500420,ISO 100 BIRTHDAY CAKE 5 LBS DYMATIZE,20,20,instock,instock,True
18979,18977,variation,850044753857,PROTEINA DE 4.8 LB VAINILLA PRIMEVAL LABS,74,74,instock,instock,True
10709,0,simple,860007448966,RAW TEST,0,0,outofstock,outofstock,True
19190,19183,variation,705016353439,ISO 100 FRUTY PEBLLES 5 LBS DYMATIZE,14,14,instock,instock,True
19293,19289,variation,810121053232,GLYCOJECT DE 2LB STRAWBERRY LEMONADE EVOGEN,8,8,instock,instock,True
18907,18903,variation,810390028320,ALPHA AMINO 30 SERV. FRUIT PUNCH CELLUCOR,8,8,instock,instock,True
8554,0,simple,891597002542,PROTEINA 4 LBS CHOCOLATE CARNIVOR (MUSCLE MEDS),60,60,instock,instock,True
19407,19402,variation,810121054000,EVP EXTREME N.O. VICTORY PUNCH-EVOGEN,3,3,outofstock,instock,True
19279,19277,variation,810121057001,HIDRATACION WATERMELON,15,15,instock,instock,True
