id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,aplicado
19316,19304,variation,817189025386,EVP 3D SOUR WATERMELON- EVOGEN,6,6,outofstock,instock,True,si
19408,19402,variation,810121053966,EVP XTREME PEACH RINGS,3,3,outofstock,instock,True,si
19087,19081,variation,748927060614,AMINO ENERGY SPARLING AE WATHERMELO OPTIMUN NUTRICION,534,502,instock,instock,True,si
19308,19304,variation,810121057971,EVP 3D CITRUS CANDY- EVOGEN,10,10,instock,instock,True,no_omitido
19281,19277,variation,810121055298,HIDRATACION LEMON LIME,17,17,instock,instock,True,no_omitido
19228,19225,variation,705016353415,ISO 100 FRUTY PEBBLES 3 LBS DYMATIZE,15,15,instock,instock,True,no_omitido
18873,18869,variation,745560722030,L- CARNITINA 3500 PIÃA COLADA IMPULSE,2,2,outofstock,instock,True,si
18912,18910,variation,181030000144,XTEND ORIGINAL 90 SERV. SMASH APPLE,16,16,instock,instock,True,no_omitido
13380,0,simple,810014679426,MULTIVITAMINAS 120 CAPSULAS,3,3,outofstock,instock,True,si
19318,19304,variation,817189024600,EVP-3D TROPIC THUNDER-EVOGEN,7,7,instock,instock,True,no_omitido
18856,18854,variation,713101732038,PROLIVE BIO6 COFFEE LOVERS DE 6 LB IMPULSE,57,57,instock,instock,True,no_omitido
11192,0,simple,829263000240,BCCA SUPER 8 MARACUYA 30 SERV - MUSCLEOLOGY,2,2,outofstock,instock,True,si
8554,0,simple,891597002542,PROTEINA 4 LBS CHOCOLATE CARNIVOR (MUSCLE MEDS),60,60,instock,instock,True,no_omitido
108,0,simple,745560722015,"CREATINE SUPER ATP, 80 SERVS). 400G (UNFLAVORED) (CREATINA)",37,37,instock,instock,True,no_omitido
13379,0,simple,810139573739,MILK THISTLE 120 CASULAS,3,3,outofstock,instock,True,si
20474,20464,variation,842595106596,C4 PERFORMANCE ENERGY 16OZ FROZEN BOMBSICLE,40,40,instock,instock,True,no_omitido
20449,20442,variation,842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,74,61,instock,instock,True,si
19432,19430,variation,810121058015,CELL K.E.M PEACH RING,6,6,outofstock,instock,True,si
13377,0,simple,810139574170,MAGNESIUM CITRATE 60 CAPSULAS,73,73,instock,instock,True,no_omitido
19313,19304,variation,817189029100,EVP 3D SMASHIN PASSION ORANGE-EVOGEN,9,9,instock,instock,True,no_omitido
14430,0,simple,812590416028,MELATONINA 5 MG 120 CAPSULAS- LANDERFIT,21,21,instock,instock,True,no_omitido
11229,0,simple,850030689276,MULTI MINERAL REVIVE,30,30,instock,instock,True,no_omitido
20468,20464,variation,842595131628,C4 PERFORMANCE 16OZ CREAMISCLE,67,67,instock,instock,True,no_omitido
19034,19029,variation,850049150392,CBUM ITOLATE PROTEIN 2 LBS STRAWERRY BUN CAKE,4,4,outofstock,instock,True,si
18855,18854,variation,713101732045,PROLIVE BIO6 CRISPY TOFFEE 6 LBS IMPULSE,44,43,instock,instock,True,si
11165,0,simple,829263000189,COLLAGENO ENERGIZADO PEPTIDES AMPD BERRY - MUSCLEOLOGY,3,3,outofstock,instock,True,si
19959,9171,variation,799142775005,AMINO REVOLUTION + ELECTROLITROS COCONUT 30 SERVI-LANDERFIT,3,3,outofstock,instock,True,si
19314,19304,variation,810121050798,EVP 3D ICED MOCHA COFFE-EVOGEN,8,8,instock,instock,True,no_omitido
18192,18186,variation,745560722152,PROLIVE BIO5 DE CHOCOLATE 5 LBS IMPULSE,336,336,instock,instock,True,no_omitido
19877,19871,variation,748927022940,AMINO ENERGY CONCOR GRAPE 585G,102,102,instock,instock,True,no_omitido
14440,0,simple,612590416200,ULTRA GLUTAMINA 60 SERVING- LANDERFIT,6,6,outofstock,instock,True,si
13388,0,simple,810139572350,VITAMINA B COMPLEX 120 CAPSULAS,9,9,instock,instock,True,no_omitido
19416,19402,variation,810121058695,EVP XTREME PATRIOT POP,3,3,outofstock,instock,True,si
19072,19071,variation,748927066593,PROTEIN SHAKE CHOCOLATE 325 ML OPTIMUN NUTRICION,124,125,instock,instock,True,si
19292,19289,variation,817189020190,GLYCOJET UN FLAVORED,9,9,instock,instock,True,no_omitido
19062,19061,variation,65007665240,VMS-PROTEIN ISOLATE -HIDROLIZED BIO-ACTIVE VAINILLA 5 LBS,36,36,instock,instock,True,no_omitido
14429,0,simple,612590416033,MELATONINA 10 MG 120 CAPSULAS- LANDERFIT,22,22,instock,instock,True,no_omitido
19405,19402,variation,810121057254,EVP XTREME N.O CITRUS CANDY-EVOGEN,4,4,outofstock,instock,True,si
19236,19235,variation,817189028998,ISOJECT COOKIE AND CREAM 4 LBS EVOGEN,3,3,outofstock,instock,True,si
20472,20464,variation,842595121759,C4 PERFORMANCE ENERGY 16OZ STRAWBERRY BLAST,88,87,instock,instock,True,si
19956,9171,variation,612590416002,AMINO REVOLUTION LANDERFIT RASPBERRY LEMONADE + ELECTROLITROS,1,1,outofstock,instock,True,si
11247,0,simple,850030689467,NAC REVIVE,17,17,instock,instock,True,no_omitido
18875,18869,variation,703556204730,L CARNITINA 3500 RED & GREEN IMPULSE,8,8,instock,instock,True,no_omitido
18870,18869,variation,703556204751,L-CARNITINA 3500 WATERMELON IMPULSE,12,12,instock,instock,True,no_omitido
20470,20464,variation,842595131253,C4 PERFORMANCE 16OZ CHERRY,106,93,instock,instock,True,si
19801,19800,variation,850026029079,WHEY 100 % CHOCOLATE 2 LBS 26 SERVING NUTREX,22,22,instock,instock,True,no_omitido
19754,19744,variation,817189029087,ISOJECT CINAMON CRUNCH 1.77 EVOGEN,2,2,outofstock,instock,True,si
19057,19055,variation,860008634467,PROTEIN COOKIE PEANUT BUTTER,74,74,instock,instock,True,no_omitido
19404,19402,variation,810121058961,EVP XTREME BLACK BERRY LEMONADA,12,12,instock,instock,True,no_omitido
13381,0,simple,810014675367,NAC 120 CAPSULAS,60,60,instock,instock,True,no_omitido
19852,19843,variation,748927054002,AMINO ENERGY BLUEBERRY MOJITO 270 G,26,26,instock,instock,True,no_omitido
13373,0,simple,810014671659,COQ10 60 CAPSULAS,2,2,outofstock,instock,True,si
11862,0,simple,850049150613,BETA ALANINE 60 SERVING RAW,11,11,instock,instock,True,no_omitido
11831,0,simple,666222007984,ACTIVE TIME RELEASED SPORT (MHP),11,11,instock,instock,True,no_omitido
9215,0,simple,799142775432,DIURETICO 40 CAPSULAS LANDERFIT,15,15,instock,instock,True,no_omitido
18858,18854,variation,713101732007,PROLIVE BIO5 SUNDEY CARAMEL DE 6 LB IMPULSE,63,63,instock,instock,True,no_omitido
19756,19744,variation,810121056455,ISOJECT MINI CRISPY COOKIES 1.87 LBS EVOGEN,5,5,outofstock,instock,True,si
18906,18903,variation,810390028313,ALPHA AMINO 30 SERV. ICY BLUE RAZZ CELLUCOR,16,16,instock,instock,True,no_omitido
14415,0,simple,703556204785,CORESHIELD -XR MULTIVITAMINAS,62,61,instock,instock,True,si
